baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000220472	5832.53816142538	-13.4356368252069	0.592002460150577	-22.6952381613238	4.99233823523381e-114	5.54985699283357e-112
ENSG00000213740	952.19738443798	-9.65065949502109	0.4258253400601	-22.6634222699359	1.02868352562902e-113	1.13795593739559e-111
ENSG00000233588	279.693495792804	-6.93320050127364	0.306162271264182	-22.6455091041936	1.54477877680975e-113	1.70053769054954e-111
ENSG00000268034	1047.26843331496	-9.74901944274559	0.430824105594396	-22.6287696443892	2.25816109840782e-113	2.47378259746453e-111
ENSG00000214558	280.732935377629	-5.87674085173048	0.25993956338257	-22.6081046503925	3.6069797013687e-113	3.93230487540036e-111
ENSG00000171471	474.404515200149	-5.62567059414433	0.249236461751022	-22.571619556067	8.23730201261414e-113	8.93707665955112e-111
ENSG00000226784	283.848448175338	-7.57744131391383	0.336022024612105	-22.5504305042535	1.32985515968189e-112	1.43592542528906e-110
ENSG00000233954	2675.89226963852	-9.714909226439	0.431950162339564	-22.4908104532715	5.105853323724e-112	5.48684723602284e-110
ENSG00000259917	4427.93706726246	-9.34720488282394	0.4162007122043	-22.4584067463962	1.05918449456856e-111	1.13282542601558e-109
ENSG00000267422	643.913219310156	-7.78550250562166	0.349935572556292	-22.2483883211652	1.16919167219118e-109	1.24458247482728e-107
ENSG00000224837	517.679312492269	-8.29272516166697	0.372753021578954	-22.2472379339531	1.19956349003673e-109	1.27091780655676e-107
ENSG00000171314	8255.8222384617	1.25291362968014	0.0568491664047774	22.0392612401586	1.21097019967047e-107	1.27700768672726e-105
ENSG00000233558	2374.41183933932	-11.5328548866859	0.523510077446715	-22.0298622386305	1.49025843860162e-107	1.56421684576384e-105
ENSG00000242071	14523.2743367221	-4.57985723301868	0.208160265511538	-22.0015920029888	2.78046504294213e-107	2.90494234370718e-105
ENSG00000225151	443.721656323731	2.31334778959285	0.105268751990953	21.9756361298144	4.92600080790707e-107	5.12281383557783e-105
ENSG00000219201	396.951519270151	-7.66046889293501	0.348743492375982	-21.9659120826725	6.10197861635924e-107	6.31666749703573e-105
ENSG00000178146	337.704084326595	-7.70376137057226	0.351045075667648	-21.945219872179	9.62015967665667e-107	9.91315723393201e-105
ENSG00000186063	1295.90148430852	2.34147786865162	0.107118850423127	21.8586911584901	6.42603842503597e-106	6.59165496080849e-104
ENSG00000226268	587.686648383968	-7.75264494226858	0.35485096172876	-21.8476086537833	8.19112220941281e-106	8.36421062895108e-104
ENSG00000118363	3265.71230928547	1.48768353491979	0.0681453368257576	21.8310394256864	1.17713332620642e-105	1.19659314290542e-103
ENSG00000180389	1450.13329416274	-9.92304861087062	0.45623514169708	-21.7498559491918	6.92969995105897e-105	7.01266990114564e-103
ENSG00000235489	964.148843880545	-6.3564804700423	0.293383474430295	-21.6661162745638	4.2840227849357e-104	4.31596170480553e-102
ENSG00000227939	852.205207650455	-8.55516319071805	0.398429022587653	-21.4722389828817	2.83048048734589e-102	2.83890902924154e-100
ENSG00000217416	176.269752325169	-5.81597225689906	0.271028775670321	-21.4588736657749	3.7733394847147e-102	3.76782974121932e-100
ENSG00000256745	1128.50828843555	-10.1615639871172	0.475653421176855	-21.3633783227619	2.92846671649474e-101	2.91130873969766e-99
ENSG00000241343	2222.38706974006	4.11134953091326	0.193027823557089	21.2992585998738	1.1533202376182e-100	1.14153411413728e-98
ENSG00000238084	348.273236271397	-7.63063039061961	0.358546724916838	-21.2821087471639	1.66292654502003e-100	1.63874512408153e-98
ENSG00000215817	301.23199938881	-6.30745344709565	0.297399414097883	-21.2086949338094	7.93850816243441e-100	7.78905711746337e-98
ENSG00000259790	1395.95401347124	-10.649337164948	0.503148112397593	-21.1654121371974	1.99014816779788e-99	1.94422829881795e-97
ENSG00000221930	190.647328978871	-6.31193415925299	0.299328866111836	-21.0869544298969	1.04794721321467e-98	1.01935451554377e-96
ENSG00000188985	1149.59794155117	-5.00299214508838	0.237889534945541	-21.0307365821438	3.43279171658715e-98	3.32479874112542e-96
ENSG00000249485	968.327095581784	-10.0520345601392	0.478607449555644	-21.0026704963993	6.20006567148909e-98	5.97935393198694e-96
ENSG00000213621	194.391189547272	-6.37720002903318	0.304851804663757	-20.9190168189001	3.59448036824683e-97	3.45177184979686e-95
ENSG00000235554	670.226784177676	-9.20773501003937	0.440225219772601	-20.9159643665932	3.83202869722689e-97	3.66429625467454e-95
